feature,mean_abs_shap,in_bank_key18
F457,0.007250818,False
F3051,0.007149634,False
F2840,0.0071462165,False
F2754,0.0070985276,False
F2525,0.007078748,False
F2328,0.0070139817,False
F2540,0.0070131645,False
F2331,0.007009043,False
F171,0.006946853,False
F3817,0.0069362563,False
F1856,0.00692093,False
F2354,0.0068754163,False
F2747,0.00678127,False
F3491,0.0067808293,False
F472,0.0067091538,False
F419,0.0067081605,False
F525,0.006694277,False
F1932,0.0066842474,False
F475,0.006653046,False
F227,0.0066021485,False
F229,0.006561842,False
F20,0.006554715,False
F1685,0.0065322914,False
F2724,0.006512433,False
F2940,0.006483294,False
F3889,0.0064638737,True
F1743,0.0064240876,False
F3803,0.006255423,False
F844,0.0062243356,False
F2648,0.006171003,False
F3115,0.0061669103,False
F535,0.0061500277,False
F565,0.00611787,False
F17,0.006108222,False
F1821,0.0060925824,False
F3494,0.0060887435,False
F2532,0.0060432497,False
F3715,0.006041785,False
F208,0.0059936247,False
F473,0.005976721,False
F3605,0.00595577,False
F478,0.0059164236,False
F2678,0.0059163375,True
F1801,0.005901919,False
F2718,0.005901119,False
F3726,0.005853313,False
F3138,0.0058384486,False
F2967,0.0058176075,False
F3706,0.005806903,False
F2244,0.0058055352,False
F361,0.0057560615,False
F3894,0.005734251,True
F2544,0.0055849166,False
F85,0.0055483924,False
F1971,0.0055482206,False
F359,0.0055179736,False
F2175,0.0054853484,False
F3604,0.0054718074,False
F3496,0.0054548816,False
F159,0.0054257936,False
F2122,0.005406174,True
F2591,0.0053788912,False
F267,0.0053765615,False
F781,0.005369176,False
F3842,0.005366966,False
F2752,0.0053599863,False
F2191,0.005305853,False
F3592,0.005284168,False
F1275,0.005271592,False
F1760,0.0052171247,False
F2624,0.005189152,False
F108,0.0051695695,False
F2483,0.005162331,False
F1645,0.0051428494,False
F2536,0.0051133195,False
F1814,0.0050793695,False
F3009,0.0050792415,False
F523,0.005067296,False
F2172,0.0050517623,False
F2831,0.0050305547,False
F2890,0.004980192,False
F1931,0.004953823,False
F3045,0.0049504144,False
F2676,0.004950231,False
F2884,0.004933269,False
F2438,0.0049093333,False
F569,0.0048987195,False
F3723,0.004884813,False
F1185,0.0048595127,False
F3539,0.0048571574,False
F272,0.004775974,False
F3474,0.0047616637,False
F1826,0.004749173,False
F155,0.004705656,False
F3826,0.0046987385,False
F374,0.0046811835,False
F370,0.004630462,False
F2991,0.004629805,False
F435,0.0045868983,False
F3443,0.0045781527,False
F325,0.004566545,False
F2780,0.0045493976,False
F379,0.004531106,False
F1095,0.00452721,False
F2491,0.0045138425,False
F2791,0.004503961,False
F2990,0.0044910247,False
F2735,0.004404414,False
F3859,0.0043948554,False
F2796,0.004388781,False
F3705,0.0043607047,False
F2672,0.0043418817,False
F2837,0.0043403367,False
F1071,0.0043293056,False
F2157,0.0043251994,False
F961,0.0042887866,False
F60,0.0042780126,False
F2596,0.004265271,False
F3109,0.004235414,False
F2691,0.004204266,False
F2442,0.004100855,False
F2574,0.0040509845,False
F3232,0.004040597,False
F30,0.0040361034,False
F3755,0.0040079732,False
F563,0.003986549,False
F3828,0.003967132,False
F1965,0.003931232,False
F3004,0.0038830275,False
F3107,0.0038751801,False
F61,0.0038746349,False
F1173,0.0038560473,False
F2556,0.0038494996,False
F2073,0.003838118,False
F3852,0.0038300795,False
F263,0.0038235653,False
F1961,0.003794838,False
F1172,0.0037815645,False
F3690,0.0037393938,False
F2139,0.0037054236,False
F512,0.0037025467,False
F1322,0.003606147,False
F3793,0.0036032298,False
F172,0.0035704311,False
F368,0.003567926,False
F992,0.0035506524,False
F479,0.003538414,False
F269,0.003462325,False
F2400,0.0034433317,False
F434,0.0034361025,False
F2898,0.0034069438,False
F123,0.0034060436,False
F3749,0.0034060085,False
F3739,0.003389746,False
F102,0.0033608978,False
F63,0.003264454,False
F2035,0.0032409017,False
F3007,0.003235356,False
F3628,0.003206072,False
F2893,0.0032005792,False
F2030,0.00319424,False
F1652,0.0031866876,False
F2739,0.0031779646,False
F1928,0.0031560888,False
F2792,0.003147598,False
F1860,0.00311749,False
F3609,0.003069121,False
F3643,0.0030038636,False
F3630,0.002978444,False
F357,0.0029713397,False
F2736,0.002954995,False
F2799,0.0029521263,False
F373,0.0029395828,False
F3404,0.0028951995,False
F2992,0.0028764266,False
F1811,0.002851355,False
F3536,0.0028498585,False
F526,0.0028468887,False
F2587,0.00275575,False
F308,0.002749868,False
F2170,0.0027467052,False
F2755,0.002734077,False
F151,0.0027216312,False
F2671,0.0027136295,False
F3500,0.0027077075,False
F1964,0.0027040173,False
F2554,0.002679161,False
F2292,0.002641433,False
F464,0.002616175,False
F1389,0.0025991804,False
F2009,0.0025514609,False
F2593,0.0025380035,False
F3724,0.0025326712,False
F564,0.0025209994,False
F2032,0.00252085,False
F2996,0.002511923,False
F3146,0.0024735741,False
F1059,0.0024645869,False
F2835,0.0023991726,False
F3897,0.0023869735,False
F2150,0.002365798,False
F363,0.002337598,False
F2448,0.002337564,False
F326,0.0023111338,False
F3235,0.0022852013,False
F1649,0.002278766,False
F416,0.002235495,False
F482,0.002231597,False
F2488,0.002230325,False
F1543,0.0022271257,False
F1767,0.0022170623,False
F2429,0.0022036987,False
F2016,0.0021482264,False
F2279,0.0021161172,False
F1069,0.0021112992,False
F2576,0.0021072223,False
F3584,0.002069067,False
F219,0.0020325815,False
F3721,0.0020270892,False
F220,0.002026666,False
F2026,0.0020016676,False
F2124,0.0019998455,False
F3150,0.0019995167,False
F2281,0.001942245,False
F518,0.0019341111,False
F515,0.0019322991,False
F2459,0.0019130717,False
F2223,0.0019104967,False
F309,0.001896447,False
F16,0.001881479,False
F2997,0.001871796,False
F517,0.0018242513,False
F2770,0.0018216436,False
F2551,0.0018107512,False
F2598,0.0017553577,False
F129,0.0017533277,False
F2669,0.0015828137,False
F3896,0.001534484,False
F1954,0.0014258599,False
F2200,0.0014204616,False
F886,0.0012075934,False
F301,0.0011855292,False
F456,0.0011681803,False
F3239,0.0011447242,False
F1859,0.0011264083,False
F783,0.0010899081,False
F460,0.0009982382,False
F2579,0.0009941785,False
F92,0.000986819,False
F221,0.0009707134,False
F391,0.0009699838,False
F1214,0.00095087796,False
F65,0.0009101412,False
F95,0.0008368564,False
F385,0.00081978604,False
F2146,0.00073216436,False
F3227,0.0005929913,False
F1707,0.00048149072,False
F2485,0.00037283992,False
F142,0.00032503784,False
F13,0.00026089675,False
F204,0.000108114094,False
F2602,0.0,False
F2625,0.0,False
F3747,0.0,False
F2623,0.0,False
F2646,0.0,False
F2615,0.0,False
F3746,0.0,False
F2622,0.0,False
F2601,0.0,False
F2616,0.0,False
F2599,0.0,False
F2626,0.0,False
F2621,0.0,False
F2620,0.0,False
F3745,0.0,False
F3744,0.0,False
F2617,0.0,False
F2597,0.0,False
F3763,0.0,False
F2619,0.0,False
F2595,0.0,False
F2618,0.0,False
F2594,0.0,False
F2604,0.0,False
F2610,0.0,False
F2627,0.0,False
F2606,0.0,False
F3762,0.0,False
F2612,0.0,False
F2640,0.0,False
F3760,0.0,False
F3766,0.0,False
F2613,0.0,False
F3765,0.0,False
F2609,0.0,False
F3758,0.0,False
F2614,0.0,False
F3761,0.0,False
F3756,0.0,False
F2608,0.0,False
F3754,0.0,False
F2645,0.0,False
F2605,0.0,False
F2636,0.0,False
F3764,0.0,False
F2635,0.0,False
F3752,0.0,False
F2634,0.0,False
F2633,0.0,False
F2632,0.0,False
F2631,0.0,False
F2630,0.0,False
F2611,0.0,False
F2629,0.0,False
F2628,0.0,False
F2644,0.0,False
F3732,0.0,False
F3741,0.0,False
F2760,0.0,False
F2762,0.0,False
F2763,0.0,False
F2764,0.0,False
F2765,0.0,False
F2766,0.0,False
F2767,0.0,False
F2768,0.0,False
F2769,0.0,False
F2771,0.0,False
F2772,0.0,False
F2773,0.0,False
F2774,0.0,False
F2775,0.0,False
F3704,0.0,False
F2777,0.0,False
F2761,0.0,False
F2759,0.0,False
F2650,0.0,False
F2758,0.0,False
F2734,0.0,False
F3716,0.0,False
F3714,0.0,False
F3713,0.0,False
F3711,0.0,False
F2742,0.0,False
F2743,0.0,False
F2744,0.0,False
F3710,0.0,False
F3709,0.0,False
F3707,0.0,False
F2749,0.0,False
F2750,0.0,False
F2751,0.0,False
F2757,0.0,False
F2778,0.0,False
F3703,0.0,False
F3702,0.0,False
F3699,0.0,False
F2809,0.0,False
F2811,0.0,False
F2812,0.0,False
F2813,0.0,False
F2815,0.0,False
F2816,0.0,False
F2817,0.0,False
F2818,0.0,False
F2819,0.0,False
F2820,0.0,False
F2821,0.0,False
F3695,0.0,False
F2822,0.0,False
F3694,0.0,False
F2823,0.0,False
F2808,0.0,False
F2806,0.0,False
F2805,0.0,False
F2793,0.0,False
F3698,0.0,False
F2785,0.0,False
F2788,0.0,False
F2789,0.0,False
F3697,0.0,False
F2790,0.0,False
F2794,0.0,False
F2803,0.0,False
F2795,0.0,False
F2797,0.0,False
F2798,0.0,False
F2800,0.0,False
F2802,0.0,False
F3696,0.0,False
F2733,0.0,False
F2732,0.0,False
F2731,0.0,False
F2698,0.0,False
F2677,0.0,False
F2679,0.0,False
F2680,0.0,False
F3737,0.0,False
F2684,0.0,False
F3735,0.0,False
F2687,0.0,False
F3734,0.0,False
F2689,0.0,False
F3733,0.0,False
F2692,0.0,False
F2693,0.0,False
F2694,0.0,False
F2695,0.0,False
F2696,0.0,False
F2674,0.0,False
F2673,0.0,False
F2670,0.0,False
F2658,0.0,False
F3740,0.0,False
F2652,0.0,False
F2653,0.0,False
F2654,0.0,False
F2656,0.0,False
F2657,0.0,False
F2659,0.0,False
F2667,0.0,False
F2660,0.0,False
F2661,0.0,False
F2662,0.0,False
F2664,0.0,False
F2665,0.0,False
F2666,0.0,False
F2697,0.0,False
F2699,0.0,False
F2730,0.0,False
F2700,0.0,False
F3730,0.0,False
F3729,0.0,False
F3728,0.0,False
F2721,0.0,False
F2722,0.0,False
F3727,0.0,False
F2723,0.0,False
F3725,0.0,False
F2725,0.0,False
F3720,0.0,False
F2726,0.0,False
F3718,0.0,False
F2727,0.0,False
F2728,0.0,False
F2729,0.0,False
F2720,0.0,False
F2719,0.0,False
F2717,0.0,False
F2708,0.0,False
F2701,0.0,False
F2702,0.0,False
F2703,0.0,False
F2704,0.0,False
F2705,0.0,False
F2706,0.0,False
F2709,0.0,False
F3731,0.0,False
F2710,0.0,False
F2711,0.0,False
F2712,0.0,False
F2713,0.0,False
F2714,0.0,False
F2715,0.0,False
F2592,0.0,False
F2535,0.0,False
F2590,0.0,False
F2368,0.0,False
F2359,0.0,False
F2361,0.0,False
F2362,0.0,False
F2363,0.0,False
F2364,0.0,False
F2365,0.0,False
F2366,0.0,False
F2369,0.0,False
F2357,0.0,False
F2370,0.0,False
F2371,0.0,False
F2372,0.0,False
F2373,0.0,False
F2374,0.0,False
F2375,0.0,False
F2376,0.0,False
F2358,0.0,False
F3874,0.0,False
F2378,0.0,False
F2345,0.0,False
F3902,0.0,False
F3901,0.0,False
F3895,0.0,False
F3893,0.0,False
F3892,0.0,False
F3891,0.0,True
F3890,0.0,False
F3886,0.0,False
F3877,0.0,False
F3885,0.0,False
F3884,0.0,False
F3883,0.0,False
F3879,0.0,False
F2352,0.0,False
F2353,0.0,False
F3878,0.0,False
F2377,0.0,False
F2379,0.0,False
F2341,0.0,False
F2409,0.0,False
F2401,0.0,False
F2402,0.0,False
F2403,0.0,False
F2404,0.0,False
F2405,0.0,False
F2407,0.0,False
F2408,0.0,False
F2410,0.0,False
F3861,0.0,False
F2411,0.0,False
F2412,0.0,False
F2413,0.0,False
F2414,0.0,False
F2415,0.0,False
F2416,0.0,False
F2417,0.0,False
F3860,0.0,False
F2399,0.0,False
F2381,0.0,False
F3865,0.0,False
F2383,0.0,False
F3870,0.0,False
F3869,0.0,False
F3868,0.0,False
F3867,0.0,False
F3866,0.0,False
F2392,0.0,False
F3864,0.0,False
F2398,0.0,False
F3863,0.0,False
F2393,0.0,False
F2394,0.0,False
F2395,0.0,False
F2396,0.0,False
F3862,0.0,False
F2397,0.0,False
F2342,0.0,False
F2340,0.0,False
F2419,0.0,False
F2288,0.0,False
F3916,0.0,False
F2282,0.0,False
F3915,0.0,False
F2283,0.0,False
F2284,0.0,False
F2285,0.0,False
F2287,0.0,False
F2289,0.0,False
F2278,0.0,False
F3910,0.0,False
F2294,0.0,False
F2295,0.0,False
F2296,0.0,False
F2298,0.0,False
F2299,0.0,False
F2300,0.0,False
F2280,0.0,False
F2277,0.0,False
F2302,0.0,False
F2268,0.0,False
F2263,0.0,False
F3923,0.0,False
F2264,0.0,False
