feature,value_auc,category_rate_auc,missingness_auc,value_auc_sep,category_rate_auc_sep,missingness_auc_sep,flagged
F457,0.6866730046911772,,0.5703063171307441,0.6866730046911772,,0.5703063171307441,False
F456,0.6864068005498585,,0.5677510454942593,0.6864068005498585,,0.5677510454942593,False
F258,0.6853966346153846,,0.5675843973440536,0.6853966346153846,,0.5675843973440536,False
F454,0.68537942427879,,0.5703063171307441,0.68537942427879,,0.5703063171307441,False
F2449,0.315444781163519,,0.45247715960229384,0.684555218836481,,0.5475228403977062,False
F2443,0.315444781163519,,0.45247715960229384,0.684555218836481,,0.5475228403977062,False
F3640,0.6845252305725004,,0.4998333518497945,0.6845252305725004,,0.5001666481502055,False
F2385,0.3163278188121797,,0.3746874489940075,0.6836721811878204,,0.6253125510059925,False
F2386,0.3166077232413375,,0.37316635600159653,0.6833922767586624,,0.6268336439984035,False
F2350,0.3167403899605521,,0.46139317853571826,0.6832596100394479,,0.5386068214642817,False
F2356,0.3167403899605521,,0.46139317853571826,0.6832596100394479,,0.5386068214642817,False
F1219,0.3167519299126515,,0.4998889012331963,0.6832480700873484,,0.5001110987668037,False
F1543,0.31687265663263,,0.4998889012331963,0.68312734336737,,0.5001110987668037,False
F256,0.6823776245593236,,0.5701396689805385,0.6823776245593236,,0.5701396689805385,False
F157,0.6819417068185136,,0.38663056642540405,0.6819417068185136,,0.613369433574596,False
F2485,0.31815989570381087,,0.37319378779586904,0.6818401042961891,,0.6268062122041309,False
F159,0.6815254300862931,,0.33103249158872605,0.6815254300862931,,0.668967508411274,False
F1099,0.3189094444238477,,0.49944450616598157,0.6810905555761523,,0.5005554938340184,False
F1423,0.31946624264868434,,0.49944450616598157,0.6805337573513157,,0.5005554938340184,False
F178,0.6802105263157895,,0.49552175958501177,0.6802105263157895,,0.5044782404149882,False
F175,0.6802105263157895,0.7513684210526316,0.49552175958501177,0.6802105263157895,0.7513684210526316,0.5044782404149882,False
F177,0.6802105263157895,0.7513684210526316,0.49552175958501177,0.6802105263157895,0.7513684210526316,0.5044782404149882,False
F180,0.6802105263157895,,0.49552175958501177,0.6802105263157895,,0.5044782404149882,False
F1286,0.3202759056589515,,0.4991112098655705,0.6797240943410485,,0.5008887901344294,False
F1280,0.3202759056589515,,0.4991112098655705,0.6797240943410485,,0.5008887901344294,False
F3748,0.6794849633498372,,0.4998889012331963,0.6794849633498372,,0.5001110987668037,False
F2985,0.32149901380670615,,0.48257943904723893,0.6785009861932938,,0.5174205609527611,False
F2988,0.32149901380670615,,0.48257943904723893,0.6785009861932938,,0.5174205609527611,False
F2191,0.321867234208385,,0.49977780246639264,0.678132765791615,,0.5002221975336074,False
F2998,0.3223048531923098,,0.37316635600159653,0.6776951468076902,,0.6268336439984035,False
F3001,0.3223048531923098,,0.37316635600159653,0.6776951468076902,,0.6268336439984035,False
F3532,0.6774864675268694,,0.4995556049327852,0.6774864675268694,,0.5004443950672148,False
F126,0.677331527080511,,0.4647261415398289,0.677331527080511,,0.5352738584601711,False
F120,0.677331527080511,,0.4647261415398289,0.677331527080511,,0.5352738584601711,False
F2180,0.32267683192065394,,0.49977780246639264,0.6773231680793461,,0.5002221975336074,False
F2293,0.32279152536682,,0.32647744214977487,0.67720847463318,,0.6735225578502251,False
F2332,0.6761255115961801,,0.5505711985362394,0.6761255115961801,,0.5505711985362394,False
F158,0.6745758096359392,,0.38498465876905313,0.6745758096359392,,0.6150153412309469,False
F588,0.6744725738396624,,0.4954662102016099,0.6744725738396624,,0.5045337897983901,False
F1208,0.32560545136016483,,0.4998889012331963,0.6743945486398352,,0.5001110987668037,False
F586,0.6742616033755274,,0.4954662102016099,0.6742616033755274,,0.5045337897983901,False
F1532,0.32575224407650233,,0.4998889012331963,0.6742477559234976,,0.5001110987668037,False
F2329,0.673806275579809,0.7682128240109141,0.5505711985362394,0.673806275579809,0.7682128240109141,0.5505711985362394,False
F2148,0.6733314396980062,,0.49977780246639264,0.6733314396980062,,0.5002221975336074,False
F2142,0.6733314396980062,,0.49977780246639264,0.6733314396980062,,0.5002221975336074,False
F2479,0.32731085210141847,,0.5543999912218258,0.6726891478985815,,0.5543999912218258,False
F1963,0.3282250133236634,,0.499277858015776,0.6717749866763366,,0.500722141984224,False
F2323,0.3292847503373819,0.6707152496626181,0.485606537545211,0.6707152496626181,0.6707152496626181,0.514393462454789,False
F64,0.6706052772330183,,0.32786617673482094,0.6706052772330183,,0.672133823265179,False
F2721,0.6705327479829141,,0.48046170452940073,0.6705327479829141,,0.5195382954705993,False
